"Name","Poverty by Race/Ethnicity"
"Description","Individuals living in households with incomes below the Federal Poverty Level (FPL) by racial/ethnic groups.&nbsp;Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Latino = Latino of any race.&nbsp;"
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample File (2007-2018); retrieved from <a href=""https://data.census.gov/"">https://data.census.gov/</a>."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2018, the FPL for a household consisting of two adults and two children was $25,100. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates.&nbsp;<br />
<br />
Poverty data displayed in Race/Ethnicity breakdown may differ slightly from poverty data displayed in Total breakdown because data in Race/Ethnicity breakdown were derived from Census Public Use Microdata files, while data in Total breakdown were derived from Census summary table files. (See sources.)&nbsp;Percents refer to the percent of the population of the selected racial/ethnic group for whom poverty status was determined.&nbsp;"
Williamsburg/Greenpoint,All Races and Ethnicities,2008,Number,47597,301
Queens,Black,2011,Number,47741,36081
Queens,Black,2008,Number,47994,36081
Borough Park,All Races and Ethnicities,2011,Number,48784,312
Concourse/Highbridge,All Races and Ethnicities,2012,Number,49446,204
Williamsburg/Greenpoint,All Races and Ethnicities,2012,Number,49454,301
Staten Island,All Races and Ethnicities,2011,Number,50285,36085
Unionport/Soundview,All Races and Ethnicities,2012,Number,50662,209
Staten Island,All Races and Ethnicities,2012,Number,51720,36085
University Heights,All Races and Ethnicities,2011,Number,51773,205
Manhattan,Black,2012,Number,52085,36061
Manhattan,White,2012,Number,52235,36061
Concourse/Highbridge,All Races and Ethnicities,2008,Number,52449,204
Manhattan,White,2008,Number,52543,36061
Brooklyn,Asian,2011,Number,52715,36047
Washington Heights,All Races and Ethnicities,2012,Number,53143,112
University Heights,All Races and Ethnicities,2012,Number,53240,205
East New York,All Races and Ethnicities,2011,Number,54185,305
Washington Heights,All Races and Ethnicities,2011,Number,54635,112
Borough Park,All Races and Ethnicities,2012,Number,55361,312
Manhattan,White,2011,Number,56607,36061
Concourse/Highbridge,All Races and Ethnicities,2011,Number,57013,204
Manhattan,Black,2011,Number,57359,36061
Manhattan,Black,2008,Number,58151,36061
Queens,White,2008,Number,58943,36081
Queens,White,2012,Number,59144,36081
Queens,Black,2012,Number,60712,36081
Queens,White,2011,Number,62303,36081
Queens,Asian,2008,Number,69652,36081
Brooklyn,Asian,2012,Number,80926,36047
Queens,Asian,2011,Number,91324,36081
Queens,Latino,2008,Number,92416,36081
Bronx,Black,2008,Number,100220,36005
Bronx,Black,2011,Number,101223,36005
Manhattan,Latino,2008,Number,104405,36061
Queens,Asian,2012,Number,106372,36081
Bronx,Black,2012,Number,111298,36005
Manhattan,Latino,2011,Number,117288,36061
Brooklyn,Latino,2008,Number,128554,36047
Queens,Latino,2011,Number,129356,36081
Manhattan,Latino,2012,Number,131501,36061
Queens,Latino,2012,Number,136386,36081
Brooklyn,Latino,2012,Number,160060,36047
New York City,Asian,2008,Number,165896,3651000
Brooklyn,White,2008,Number,168094,36047
Brooklyn,Latino,2011,Number,168577,36047
Brooklyn,White,2011,Number,175035,36047
Brooklyn,Black,2012,Number,177682,36047
Brooklyn,Black,2008,Number,181685,36047
Brooklyn,White,2012,Number,185205,36047
Brooklyn,Black,2011,Number,193164,36047
New York City,Asian,2011,Number,196466,3651000
New York City,Asian,2012,Number,243708,3651000
Bronx,Latino,2008,Number,246598,36005
Manhattan,All Races and Ethnicities,2008,Number,258264,36061
Bronx,Latino,2011,Number,271956,36005
Bronx,Latino,2012,Number,272496,36005
Manhattan,All Races and Ethnicities,2011,Number,274837,36061
Queens,All Races and Ethnicities,2008,Number,279933,36081
Manhattan,All Races and Ethnicities,2012,Number,283258,36061
New York City,White,2008,Number,313076,3651000
New York City,White,2012,Number,332717,3651000
New York City,White,2011,Number,333556,3651000
Queens,All Races and Ethnicities,2011,Number,345277,36081
Queens,All Races and Ethnicities,2012,Number,380089,36081
Bronx,All Races and Ethnicities,2008,Number,381088,36005
New York City,Black,2008,Number,398767,3651000
New York City,Black,2011,Number,408379,3651000
Bronx,All Races and Ethnicities,2011,Number,411552,36005
New York City,Black,2012,Number,414369,3651000
Bronx,All Races and Ethnicities,2012,Number,417732,36005
Brooklyn,All Races and Ethnicities,2008,Number,530079,36047
New York City,Latino,2008,Number,584133,3651000
Brooklyn,All Races and Ethnicities,2011,Number,597977,36047
Brooklyn,All Races and Ethnicities,2012,Number,613885,36047
New York City,Latino,2011,Number,700992,3651000
New York City,Latino,2012,Number,715874,3651000
New York City,All Races and Ethnicities,2008,Number,1491877,3651000
New York City,All Races and Ethnicities,2011,Number,1679928,3651000
New York City,All Races and Ethnicities,2012,Number,1746684,3651000
Battery Park/Tribeca,All Races and Ethnicities,2010,Number,5035.52911,101
Battery Park/Tribeca,White,2010,Number,2383.89031,101
Battery Park/Tribeca,Black,2010,Number,325.49815,101
Battery Park/Tribeca,Latino,2010,Number,392.53623,101
Battery Park/Tribeca,Asian,2010,Number,1797.10518,101
Battery Park/Tribeca,All Races and Ethnicities,2010,Percent,0.08603,101
Battery Park/Tribeca,White,2010,Percent,0.05584,101
Battery Park/Tribeca,Black,2010,Percent,0.22685,101
Battery Park/Tribeca,Latino,2010,Percent,0.11868,101
Battery Park/Tribeca,Asian,2010,Percent,0.20362,101
Greenwich Village,All Races and Ethnicities,2010,Number,7433.47089,102
Greenwich Village,White,2010,Number,3519.10969,102
Greenwich Village,Black,2010,Number,480.50185,102
Greenwich Village,Latino,2010,Number,579.46377,102
Greenwich Village,Asian,2010,Number,2652.89482,102
Greenwich Village,All Races and Ethnicities,2010,Percent,0.08603,102
Greenwich Village,White,2010,Percent,0.05584,102
Greenwich Village,Black,2010,Percent,0.22685,102
Greenwich Village,Latino,2010,Percent,0.11868,102
Greenwich Village,Asian,2010,Percent,0.20362,102
Lower East Side,All Races and Ethnicities,2010,Number,35736,103
Lower East Side,White,2010,Number,5906,103
Lower East Side,Black,2010,Number,2953,103
Lower East Side,Latino,2010,Number,12340,103
Lower East Side,Asian,2010,Number,14098,103
Lower East Side,All Races and Ethnicities,2010,Percent,0.22445,103
Lower East Side,White,2010,Percent,0.10992,103
Lower East Side,Black,2010,Percent,0.28402,103
Lower East Side,Latino,2010,Percent,0.33717,103
Lower East Side,Asian,2010,Percent,0.25347,103
Chelsea/Clinton,All Races and Ethnicities,2010,Number,11201.68063,104
Chelsea/Clinton,White,2010,Number,4395.23345,104
Chelsea/Clinton,Black,2010,Number,1474.18596,104
Chelsea/Clinton,Latino,2010,Number,1514.83937,104
Chelsea/Clinton,Asian,2010,Number,2589.82216,104
Chelsea/Clinton,All Races and Ethnicities,2010,Percent,0.12516,104
Chelsea/Clinton,White,2010,Percent,0.07734,104
Chelsea/Clinton,Black,2010,Percent,0.25402,104
Chelsea/Clinton,Latino,2010,Percent,0.13453,104
Chelsea/Clinton,Asian,2010,Percent,0.20443,104
Midtown Business District,All Races and Ethnicities,2010,Number,5606.31937,105
Midtown Business District,White,2010,Number,2199.76655,105
Midtown Business District,Black,2010,Number,737.81404,105
Midtown Business District,Latino,2010,Number,758.16063,105
Midtown Business District,Asian,2010,Number,1296.17784,105
Midtown Business District,All Races and Ethnicities,2010,Percent,0.12516,105
Midtown Business District,White,2010,Percent,0.07734,105
Midtown Business District,Black,2010,Percent,0.25402,105
Midtown Business District,Latino,2010,Percent,0.13453,105
Midtown Business District,Asian,2010,Percent,0.20443,105
Murray Hill/Stuyvesant,All Races and Ethnicities,2010,Number,10604,106
Murray Hill/Stuyvesant,White,2010,Number,6501,106
Murray Hill/Stuyvesant,Black,2010,Number,914,106
Murray Hill/Stuyvesant,Latino,2010,Number,674,106
Murray Hill/Stuyvesant,Asian,2010,Number,2401,106
Murray Hill/Stuyvesant,All Races and Ethnicities,2010,Percent,0.0731,106
Murray Hill/Stuyvesant,White,2010,Percent,0.06416,106
Murray Hill/Stuyvesant,Black,2010,Percent,0.11729,106
Murray Hill/Stuyvesant,Latino,2010,Percent,0.05372,106
Murray Hill/Stuyvesant,Asian,2010,Percent,0.12826,106
Upper West Side,All Races and Ethnicities,2010,Number,23681,107
Upper West Side,White,2010,Number,10900,107
Upper West Side,Black,2010,Number,3590,107
Upper West Side,Latino,2010,Number,7055,107
Upper West Side,Asian,2010,Number,2020,107
Upper West Side,All Races and Ethnicities,2010,Percent,0.11846,107
Upper West Side,White,2010,Percent,0.08021,107
Upper West Side,Black,2010,Percent,0.27592,107
Upper West Side,Latino,2010,Percent,0.22997,107
Upper West Side,Asian,2010,Percent,0.1274,107
Upper East Side,All Races and Ethnicities,2010,Number,14159,108
Upper East Side,White,2010,Number,8653,108
Upper East Side,Black,2010,Number,634,108
Upper East Side,Latino,2010,Number,3416,108
Upper East Side,Asian,2010,Number,1339,108
Upper East Side,All Races and Ethnicities,2010,Percent,0.06472,108
Upper East Side,White,2010,Percent,0.05092,108
Upper East Side,Black,2010,Percent,0.09366,108
Upper East Side,Latino,2010,Percent,0.1932,108
Upper East Side,Asian,2010,Percent,0.06677,108
Manhattanville,All Races and Ethnicities,2010,Number,36430,109
Manhattanville,White,2010,Number,4664,109
Manhattanville,Black,2010,Number,7623,109
Manhattanville,Latino,2010,Number,20208,109
Manhattanville,Asian,2010,Number,3100,109
Manhattanville,All Races and Ethnicities,2010,Percent,0.26439,109
Manhattanville,White,2010,Percent,0.12183,109
Manhattanville,Black,2010,Percent,0.27337,109
Manhattanville,Latino,2010,Percent,0.36111,109
Manhattanville,Asian,2010,Percent,0.29862,109
Central Harlem,All Races and Ethnicities,2010,Number,36771,110
Central Harlem,White,2010,Number,1716,110
Central Harlem,Black,2010,Number,20969,110
Central Harlem,Latino,2010,Number,12258,110
Central Harlem,Asian,2010,Number,1110,110
Central Harlem,All Races and Ethnicities,2010,Percent,0.29034,110
Central Harlem,White,2010,Percent,0.11456,110
Central Harlem,Black,2010,Percent,0.28248,110
Central Harlem,Latino,2010,Percent,0.40932,110
Central Harlem,Asian,2010,Percent,0.26112,110
East Harlem,All Races and Ethnicities,2010,Number,36498,111
East Harlem,White,2010,Number,3204,111
East Harlem,Black,2010,Number,10782,111
East Harlem,Latino,2010,Number,20822,111
East Harlem,Asian,2010,Number,1552,111
East Harlem,All Races and Ethnicities,2010,Percent,0.31881,111
East Harlem,White,2010,Percent,0.21073,111
East Harlem,Black,2010,Percent,0.29242,111
East Harlem,Latino,2010,Percent,0.39312,111
East Harlem,Asian,2010,Percent,0.18656,111
Washington Heights,All Races and Ethnicities,2010,Number,35315,112
Washington Heights,White,2010,Number,4633,112
Washington Heights,Black,2010,Number,1822,112
Washington Heights,Latino,2010,Number,27869,112
Washington Heights,Asian,2010,Number,864,112
Washington Heights,All Races and Ethnicities,2010,Percent,0.17194,112
Washington Heights,White,2010,Percent,0.11881,112
Washington Heights,Black,2010,Percent,0.12451,112
Washington Heights,Latino,2010,Percent,0.19349,112
Washington Heights,Asian,2010,Percent,0.20966,112
Mott Haven,All Races and Ethnicities,2010,Number,33916.32741,201
Mott Haven,White,2010,Number,602.79568,201
Mott Haven,Black,2010,Number,10072.48025,201
Mott Haven,Latino,2010,Number,22899.87041,201
Mott Haven,Asian,2010,Number,216.42083,201
Mott Haven,All Races and Ethnicities,2010,Percent,0.34047,201
Mott Haven,White,2010,Percent,0.3015,201
Mott Haven,Black,2010,Percent,0.34062,201
Mott Haven,Latino,2010,Percent,0.34472,201
Mott Haven,Asian,2010,Percent,0.24443,201
Hunts Point,All Races and Ethnicities,2010,Number,19366.67259,202
Hunts Point,White,2010,Number,344.20432,202
Hunts Point,Black,2010,Number,5751.51975,202
Hunts Point,Latino,2010,Number,13076.12959,202
Hunts Point,Asian,2010,Number,123.57917,202
Hunts Point,All Races and Ethnicities,2010,Percent,0.34047,202
Hunts Point,White,2010,Percent,0.3015,202
Hunts Point,Black,2010,Percent,0.34062,202
Hunts Point,Latino,2010,Percent,0.34472,202
Hunts Point,Asian,2010,Percent,0.24443,202
Morrisania,All Races and Ethnicities,2010,Number,36264.97263,203
Morrisania,White,2010,Number,1213.82274,203
Morrisania,Black,2010,Number,9856.86692,203
Morrisania,Latino,2010,Number,24600.8259,203
Morrisania,Asian,2010,Number,357.63983,203
Morrisania,All Races and Ethnicities,2010,Percent,0.4607,203
Morrisania,White,2010,Percent,0.37677,203
Morrisania,Black,2010,Percent,0.40962,203
Morrisania,Latino,2010,Percent,0.49117,203
Morrisania,Asian,2010,Percent,0.61636,203
Concourse/Highbridge,All Races and Ethnicities,2010,Number,49863,204
Concourse/Highbridge,White,2010,Number,88,204
Concourse/Highbridge,Black,2010,Number,12302,204
Concourse/Highbridge,Latino,2010,Number,36701,204
Concourse/Highbridge,Asian,2010,Number,589,204
Concourse/Highbridge,All Races and Ethnicities,2010,Percent,0.34037,204
Concourse/Highbridge,White,2010,Percent,0.14865,204
Concourse/Highbridge,Black,2010,Percent,0.25429,204
Concourse/Highbridge,Latino,2010,Percent,0.39264,204
Concourse/Highbridge,Asian,2010,Percent,0.22821,204
University Heights,All Races and Ethnicities,2010,Number,56525,205
University Heights,White,2010,Number,772,205
University Heights,Black,2010,Number,16565,205
University Heights,Latino,2010,Number,37394,205
University Heights,Asian,2010,Number,167,205
University Heights,All Races and Ethnicities,2010,Percent,0.41772,205
University Heights,White,2010,Percent,0.35235,205
University Heights,Black,2010,Percent,0.42516,205
University Heights,Latino,2010,Percent,0.41034,205
University Heights,Asian,2010,Percent,0.29044,205
East Tremont,All Races and Ethnicities,2010,Number,37859.02737,206
East Tremont,White,2010,Number,1267.17726,206
East Tremont,Black,2010,Number,10290.13308,206
East Tremont,Latino,2010,Number,25682.1741,206
East Tremont,Asian,2010,Number,373.36017,206
East Tremont,All Races and Ethnicities,2010,Percent,0.4607,206
East Tremont,White,2010,Percent,0.37677,206
East Tremont,Black,2010,Percent,0.40962,206
East Tremont,Latino,2010,Percent,0.49117,206
East Tremont,Asian,2010,Percent,0.61636,206
Bedford Park,All Races and Ethnicities,2010,Number,40203,207
Bedford Park,White,2010,Number,2702,207
Bedford Park,Black,2010,Number,7127,207
Bedford Park,Latino,2010,Number,26696,207
Bedford Park,Asian,2010,Number,3152,207
Bedford Park,All Races and Ethnicities,2010,Percent,0.32291,207
Bedford Park,White,2010,Percent,0.29728,207
Bedford Park,Black,2010,Percent,0.28146,207
Bedford Park,Latino,2010,Percent,0.32362,207
Bedford Park,Asian,2010,Percent,0.53496,207
Riverdale,All Races and Ethnicities,2010,Number,18014,208
Riverdale,White,2010,Number,3479,208
Riverdale,Black,2010,Number,2053,208
Riverdale,Latino,2010,Number,11815,208
Riverdale,Asian,2010,Number,530,208
Riverdale,All Races and Ethnicities,2010,Percent,0.16516,208
Riverdale,White,2010,Percent,0.08495,208
Riverdale,Black,2010,Percent,0.14541,208
Riverdale,Latino,2010,Percent,0.25555,208
Riverdale,Asian,2010,Percent,0.09463,208
Unionport/Soundview,All Races and Ethnicities,2010,Number,45129,209
Unionport/Soundview,White,2010,Number,810,209
Unionport/Soundview,Black,2010,Number,10642,209
Unionport/Soundview,Latino,2010,Number,26669,209
Unionport/Soundview,Asian,2010,Number,5975,209
Unionport/Soundview,All Races and Ethnicities,2010,Percent,0.2466,209
Unionport/Soundview,White,2010,Percent,0.17201,209
Unionport/Soundview,Black,2010,Percent,0.18021,209
Unionport/Soundview,Latino,2010,Percent,0.25949,209
Unionport/Soundview,Asian,2010,Percent,0.48322,209
Throgs Neck,All Races and Ethnicities,2010,Number,17272,210
Throgs Neck,White,2010,Number,3280,210
Throgs Neck,Black,2010,Number,6041,210
Throgs Neck,Latino,2010,Number,6553,210
Throgs Neck,Asian,2010,Number,253,210
Throgs Neck,All Races and Ethnicities,2010,Percent,0.15773,210
Throgs Neck,White,2010,Percent,0.07951,210
Throgs Neck,Black,2010,Percent,0.20079,210
Throgs Neck,Latino,2010,Percent,0.19226,210
Throgs Neck,Asian,2010,Percent,0.11681,210
Pelham Parkway,All Races and Ethnicities,2010,Number,26066,211
Pelham Parkway,White,2010,Number,3507,211
Pelham Parkway,Black,2010,Number,3484,211
Pelham Parkway,Latino,2010,Number,17573,211
Pelham Parkway,Asian,2010,Number,1296,211
Pelham Parkway,All Races and Ethnicities,2010,Percent,0.21074,211
Pelham Parkway,White,2010,Percent,0.10615,211
Pelham Parkway,Black,2010,Percent,0.14326,211
Pelham Parkway,Latino,2010,Percent,0.33498,211
Pelham Parkway,Asian,2010,Percent,0.11681,211
Williamsbridge,All Races and Ethnicities,2010,Number,26752,212
Williamsbridge,White,2010,Number,479,212
Williamsbridge,Black,2010,Number,13833,212
Williamsbridge,Latino,2010,Number,12106,212
Williamsbridge,Asian,2010,Number,177,212
Williamsbridge,All Races and Ethnicities,2010,Percent,0.195,212
Williamsbridge,White,2010,Percent,0.04607,212
Williamsbridge,Black,2010,Percent,0.15749,212
Williamsbridge,Latino,2010,Percent,0.354,212
Williamsbridge,Asian,2010,Percent,0.08318,212
Williamsburg/Greenpoint,All Races and Ethnicities,2010,Number,40032,301
Williamsburg/Greenpoint,White,2010,Number,27888,301
Williamsburg/Greenpoint,Black,2010,Number,1682,301
Williamsburg/Greenpoint,Latino,2010,Number,8578,301
Williamsburg/Greenpoint,Asian,2010,Number,1884,301
Williamsburg/Greenpoint,All Races and Ethnicities,2010,Percent,0.27355,301
Williamsburg/Greenpoint,White,2010,Percent,0.31374,301
Williamsburg/Greenpoint,Black,2010,Percent,0.4417,301
Williamsburg/Greenpoint,Latino,2010,Percent,0.19556,301
Williamsburg/Greenpoint,Asian,2010,Percent,0.24868,301
Fort Greene/Brooklyn Hts,All Races and Ethnicities,2010,Number,20797,302
Fort Greene/Brooklyn Hts,White,2010,Number,6768,302
Fort Greene/Brooklyn Hts,Black,2010,Number,9120,302
Fort Greene/Brooklyn Hts,Latino,2010,Number,3380,302
Fort Greene/Brooklyn Hts,Asian,2010,Number,772,302
Fort Greene/Brooklyn Hts,All Races and Ethnicities,2010,Percent,0.16442,302
Fort Greene/Brooklyn Hts,White,2010,Percent,0.12517,302
Fort Greene/Brooklyn Hts,Black,2010,Percent,0.24444,302
Fort Greene/Brooklyn Hts,Latino,2010,Percent,0.16327,302
Fort Greene/Brooklyn Hts,Asian,2010,Percent,0.09301,302
Bedford Stuyvesant,All Races and Ethnicities,2010,Number,43217,303
Bedford Stuyvesant,White,2010,Number,7324,303
Bedford Stuyvesant,Black,2010,Number,22496,303
Bedford Stuyvesant,Latino,2010,Number,12016,303
Bedford Stuyvesant,Asian,2010,Number,1312,303
Bedford Stuyvesant,All Races and Ethnicities,2010,Percent,0.32399,303
Bedford Stuyvesant,White,2010,Percent,0.37369,303
Bedford Stuyvesant,Black,2010,Percent,0.27979,303
Bedford Stuyvesant,Latino,2010,Percent,0.45065,303
